FORPRINT: Sun May  4 12:19:01 2014
       3000.0000       3.9890632
       3020.2020       3.7731007
       3040.4040       3.5653165
       3060.6061       3.3655607
       3080.8081       3.1736855
       3101.0101       2.9895825
       3121.2121       2.8130866
       3141.4141       2.6440790
       3161.6162       2.4824127
       3181.8182       2.3279719
       3202.0202       2.1806204
       3222.2222       2.0402280
       3242.4242       1.9066611
       3262.6263       1.7798025
       3282.8283       1.6595115
       3303.0303       1.5456737
       3323.2323       1.4381609
       3343.4343       1.3368615
       3363.6364       1.2416462
       3383.8384       1.1524026
       3404.0404       1.0690080
       3424.2424      0.99134444
       3444.4444      0.91927428
       3464.6465      0.85267269
       3484.8485      0.79139659
       3505.0505      0.73530481
       3525.2525      0.68423069
       3545.4545      0.63798898
       3565.6566      0.59637387
       3585.8586      0.55914919
       3606.0606      0.52605330
       3626.2626      0.49679729
       3646.4646      0.47107132
       3666.6667      0.44853302
       3686.8687      0.42883958
       3707.0707      0.41163506
       3727.2727      0.39657149
       3747.4747      0.38332109
       3767.6768      0.37158721
       3787.8788      0.36109389
       3808.0808      0.35160925
       3828.2828      0.34294758
       3848.4848      0.33496153
       3868.6869      0.32753771
       3888.8889      0.32060718
       3909.0909      0.31412978
       3929.2929      0.30809666
       3949.4949      0.30252656
       3969.6970      0.29744676
       3989.8990      0.29290721
       4010.1010      0.28895740
       4030.3030      0.28565011
       4050.5051      0.28303046
       4070.7071      0.28112831
       4090.9091      0.27996366
       4111.1111      0.27952463
       4131.3131      0.27978347
       4151.5152      0.28069025
       4171.7172      0.28215776
       4191.9192      0.28408853
       4212.1212      0.28636348
       4232.3232      0.28884450
       4252.5253      0.29138759
       4272.7273      0.29384294
       4292.9293      0.29605495
       4313.1313      0.29787249
       4333.3333      0.29914093
       4353.5354      0.29971995
       4373.7374      0.29947832
       4393.9394      0.29829574
       4414.1414      0.29607853
       4434.3434      0.29275206
       4454.5455      0.28827921
       4474.7475      0.28266215
       4494.9495      0.27596559
       4515.1515      0.26834016
       4535.3535      0.26003645
       4555.5556      0.25146396
       4575.7576      0.24323075
       4595.9596      0.23619006
       4616.1616      0.23148602
       4636.3636      0.23051312
       4656.5657      0.23477163
       4676.7677      0.24561306
       4696.9697      0.26398549
       4717.1717      0.29029195
       4737.3737      0.32447648
       4757.5758      0.36621744
       4777.7778      0.41510457
       4797.9798      0.47076249
       4818.1818      0.53289373
       4838.3838      0.60128482
       4858.5859      0.67580109
       4878.7879      0.75637008
       4898.9899      0.84296988
       4919.1919      0.93561474
       4939.3939       1.0343491
       4959.5960       1.1392383
       4979.7980       1.2503632
       5000.0000       1.3678197
